x,y,resolution,elevation,mean_elevation,semantic_class,point_count
-99.625,-4.125,0.25,1.4521248169379013,1.4521248169379013,ground,1
-99.625,-3.875,0.25,1.478789214901824,1.478789214901824,ground,1
-99.625,5.625,0.25,1.4826965178003997,1.4826965178003997,ground,1
-99.375,-9.625,0.25,1.4538134107267968,1.4538134107267968,ground,1
-99.375,11.125,0.25,1.5429407081054651,1.5429407081054651,ground,1
-99.125,5.625,0.25,1.4996588889432607,1.4996588889432607,ground,1
-99.125,9.375,0.25,1.527445616208971,1.527445616208971,ground,1
-98.875,-7.125,0.25,1.4127088700993777,1.4127088700993777,ground,1
-98.625,-3.875,0.25,1.422041894214889,1.422041894214889,ground,1
-98.625,7.625,0.25,1.5100638581723336,1.5100638581723336,ground,1
-98.625,11.125,0.25,1.53076841978557,1.53076841978557,ground,1
-98.375,-17.375,0.25,1.4724088885542406,1.4724088885542406,ground,1
-98.375,-10.875,0.25,1.3863574990711642,1.3863574990711642,ground,1
-98.375,-2.125,0.25,1.4713911367201002,1.4713911367201002,ground,1
-98.375,4.125,0.25,1.4715371689917662,1.4715371689917662,ground,1
-98.375,16.125,0.25,1.5409738982772971,1.5409738982772971,ground,1
-98.125,-10.375,0.25,1.4566229467970808,1.4566229467970808,ground,1
-98.125,2.125,0.25,1.5074727839071218,1.5074727839071218,ground,1
-98.125,4.625,0.25,1.4774257610864858,1.4774257610864858,ground,1
-97.875,-7.125,0.25,1.4772065258632423,1.4772065258632423,ground,1
-97.875,-3.625,0.25,1.5065052600416409,1.5065052600416409,ground,1
-97.625,-16.375,0.25,1.4309643760243487,1.4309643760243487,ground,1
-97.625,-11.125,0.25,1.402307872190044,1.402307872190044,ground,1
-97.625,10.375,0.25,1.4651232458270358,1.4651232458270358,ground,1
-97.625,17.125,0.25,1.556157987295786,1.556157987295786,ground,1
-97.625,17.625,0.25,1.5510585148825147,1.5510585148825147,ground,1
-97.375,12.875,0.25,1.5150786237678537,1.5150786237678537,ground,1
-97.125,19.375,0.25,1.5118209453950304,1.5118209453950304,ground,1
-96.875,-20.625,0.25,1.385570350295047,1.385570350295047,ground,1
-96.875,-10.375,0.25,1.360832279030372,1.360832279030372,ground,1
-96.625,-14.375,0.25,1.3896185595540074,1.3896185595540074,ground,1
-96.375,-25.625,0.25,2.283178117298373,2.283178117298373,vegetation,1
-96.375,9.125,0.25,1.5062173142380313,1.5062173142380313,ground,1
-96.125,-26.125,0.25,1.3134946403523668,1.3134946403523668,ground,1
-96.125,-1.875,0.25,1.451234139925485,1.451234139925485,ground,1
-96.125,11.375,0.25,1.4964194707752658,1.4964194707752658,ground,1
-96.125,14.125,0.25,1.5122773809742445,1.5122773809742445,ground,1
-95.875,-11.375,0.25,1.374672568147422,1.374672568147422,ground,1
-95.875,2.625,0.25,1.4886213221056033,1.4886213221056033,ground,1
-95.625,-19.375,0.25,1.3970292348180082,1.3970292348180082,ground,1
