x,y,resolution,elevation,mean_elevation,semantic_class,point_count
-9.875,-1.875,0.25,0.1374723615299594,0.1374723615299594,ground,1
-9.625,-2.625,0.25,0.16427429041757521,0.16427429041757521,ground,1
-9.625,-1.875,0.25,0.13047252922731375,0.13047252922731375,ground,1
-9.625,-1.375,0.25,0.14280925853942714,0.14280925853942714,ground,1
-9.625,2.625,0.25,0.12075108270305228,0.12075108270305228,ground,1
-8.875,1.875,0.25,0.13107713633153456,0.13107713633153456,ground,1
-8.625,2.375,0.25,0.15055711774639516,0.15055711774639516,ground,1
-8.375,-4.125,0.25,0.12257288975340602,0.12257288975340602,ground,1
-8.125,5.875,0.25,0.14604953643768714,0.14604953643768714,ground,1
-7.625,-4.875,0.25,0.08131330135575954,0.08131330135575954,ground,1
-7.625,-2.375,0.25,0.095951242864465,0.095951242864465,ground,1
-7.625,-0.125,0.25,0.10750272210834265,0.10750272210834265,ground,1
-7.375,-6.125,0.25,0.0950482242552989,0.0950482242552989,ground,1
-7.125,-3.375,0.25,0.11652664751378569,0.11652664751378569,ground,1
-7.125,3.625,0.25,0.1471230065932893,0.1471230065932893,ground,1
-6.875,3.625,0.25,0.09062482171426955,0.09062482171426955,ground,1
-6.625,-2.375,0.25,0.13889801990845263,0.13889801990845263,ground,1
-6.625,-2.125,0.25,0.03904914924235299,0.03904914924235299,ground,1
-6.625,-1.375,0.25,0.1123902849406818,0.1123902849406818,ground,1
-6.625,-0.625,0.25,0.07058908962285285,0.07058908962285285,ground,1
-6.625,-0.125,0.25,0.1368727925962552,0.1368727925962552,ground,1
-6.375,-2.625,0.25,0.08564316286667835,0.08564316286667835,ground,1
-6.375,0.625,0.25,0.056619393323874306,0.056619393323874306,ground,1
-6.375,3.875,0.25,0.14953015454952112,0.14953015454952112,ground,1
-5.875,-3.875,0.25,0.06826679381817287,0.06826679381817287,ground,1
-5.875,2.625,0.25,0.10178336446941792,0.10178336446941792,ground,1
-5.875,4.375,0.25,0.12444625268229313,0.12444625268229313,ground,1
-5.625,7.875,0.25,0.10488441541201385,0.10488441541201385,ground,1
-5.375,-4.375,0.25,0.07297502132770575,0.07297502132770575,ground,1
-5.375,-2.125,0.25,0.0913509667324118,0.0913509667324118,ground,1
-5.125,-4.375,0.25,0.037105504653418234,0.037105504653418234,ground,1
-5.125,-2.875,0.25,0.05551100907150665,0.05551100907150665,ground,1
